productId,lowPrice,midPrice,highPrice,market_price,directLowPrice,subTypeName,card_name,pulled_at
610696,0.01,1.58,999.0,1.42,1.79,Holofoil,Miltank (Master Ball Pattern),2026-08-17 05:05:41.093520
610697,1.0,1.5,999.0,1.17,,Holofoil,Buneary (Master Ball Pattern),2026-08-17 05:05:41.093520
610698,6.72,9.7,999.0,9.01,,Holofoil,Lopunny (Master Ball Pattern),2026-08-17 05:05:41.093520
610699,1.0,2.25,999.0,2.16,22.49,Holofoil,Fan Rotom (Master Ball Pattern),2026-08-17 05:05:41.093520
610700,1.0,1.77,999.0,1.6,1.99,Holofoil,Regigigas (Master Ball Pattern),2026-08-17 05:05:41.093520
610701,3.5,7.65,999.0,7.25,9.41,Holofoil,Shaymin (Master Ball Pattern),2026-08-17 05:05:41.093520
610702,5.25,9.79,999.0,9.68,,Holofoil,Furfrou (Master Ball Pattern),2026-08-17 05:05:41.093520
610703,0.75,1.5,999.0,1.14,,Holofoil,Hawlucha (Master Ball Pattern),2026-08-17 05:05:41.093520
610704,0.01,1.5,999.0,1.36,1.35,Holofoil,Noibat (Master Ball Pattern),2026-08-17 05:05:41.093520
614046,0.01,0.05,999.0,0.03,,Normal,Code Card - Prismatic Evolutions Booster Pack,2026-08-17 05:05:41.093520
614356,1099.99,1130.56,1250.0,898.09,,Normal,Prismatic Evolutions Mini Tin Display Case,2026-08-17 05:05:41.093520
615027,2264.95,2525.0,3499.95,2341.91,,Normal,Prismatic Evolutions Booster Bundle Case,2026-08-17 05:05:41.093520
616163,0.01,0.15,999.0,0.09,,Normal,Code Card - Prismatic Evolutions Elite Trainer Box,2026-08-17 05:05:41.093520
616165,1.0,1.44,999.0,1.39,,Normal,Code Card - Prismatic Evolutions Pokemon Center Elite Trainer Box,2026-08-17 05:05:41.093520
616171,0.04,0.1,999.0,0.06,,Normal,Code Card - Prismatic Evolutions Tech Sticker Collection [Glaceon],2026-08-17 05:05:41.093520
616180,0.01,0.06,999.0,0.06,,Normal,Code Card - Prismatic Evolutions Poster Collection,2026-08-17 05:05:41.093520
617807,69.99,69.99,69.99,,,Normal,Prismatic Evolutions Sleeved Booster Pack Art Bundle [Set of 4],2026-08-17 05:05:41.093520
617823,58.87,59.98,88.95,59.78,,Normal,Prismatic Evolutions Booster Pack Art Bundle [Set of 4],2026-08-17 05:05:41.093520
620024,910.0,999.99,20000.0,830.79,,Normal,Prismatic Evolutions 2-Pack Blister Case,2026-08-17 05:05:41.093520
622770,254.49,325.0,1499.99,262.44,,Normal,Prismatic Evolutions Super-Premium Collection,2026-08-17 05:05:41.093520
625144,0.01,0.19,999.0,0.17,,Normal,Code Card - Prismatic Evolutions Surprise Box,2026-08-17 05:05:41.093520
629828,475.0,797.5,1195.95,311.5,,Normal,Prismatic Evolutions Accessory Pouch Special Collection Case,2026-08-17 05:05:41.093520
630093,0.04,0.07,999.0,0.06,,Normal,Code Card - Prismatic Evolutions 2-Pack Blister,2026-08-17 05:05:41.093520
632695,0.27,1.38,999.0,1.5,,Normal,Code Card - Prismatic Evolutions Super-Premium Collection,2026-08-17 05:05:41.093520
635011,13000.0,13000.0,13000.0,,,Normal,Prismatic Evolution Booster Bundle Display Case,2026-08-17 05:05:41.093520
638058,1195.95,1429.44,5000.0,1292.8,,Normal,Prismatic Evolutions Super-Premium Collection Case,2026-08-17 05:05:41.093520
650799,210.0,263.44,750.0,220.43,,Normal,Prismatic Evolutions Premium Figure Collection,2026-08-17 05:05:41.093520
650804,1279.0,1700.0,2124.0,1321.62,,Normal,Prismatic Evolutions Premium Figure Collection Case,2026-08-17 05:05:41.093520
670607,193.0,200.0,336.0,200.01,,Normal,Prismatic Evolutions Elite Trainer Box (Dollar General Exclusive),2026-08-17 05:05:41.093520
670608,1500.0,1750.0,2000.0,,,Normal,Prismatic Evolutions Elite Trainer Box Case (Dollar General Exclusive),2026-08-17 05:05:41.093520
678555,149.0,166.99,500.0,150.41,,Normal,Prismatic Evolutions Booster Bundle + Surprise Box Bundle (Sam's Club),2026-08-17 05:05:41.093520
