card_name,rarity,market_price,date
Bloodmoon Ursaluna (Master Ball Pattern) | Holofoil,Rare,7.92,2025-03-31
Bloodmoon Ursaluna ex | Holofoil,Special Illustration Rare,116.15,2025-03-31
Bronzong (Master Ball Pattern) | Holofoil,Uncommon,6.39,2025-03-31
Bronzor (Master Ball Pattern) | Holofoil,Common,3.24,2025-03-31
Buddy-Buddy Poffin (Poke Ball Pattern) | Holofoil,Uncommon,2.85,2025-03-31
Budew (Master Ball Pattern) | Holofoil,Common,19.09,2025-03-31
Budew (Poke Ball Pattern) | Holofoil,Common,5.59,2025-03-31
Buneary (Master Ball Pattern) | Holofoil,Common,3.31,2025-03-31
Ceruledge ex | Holofoil,Special Illustration Rare,225.37,2025-03-31
Cornerstone Mask Ogerpon ex - 160/131 | Holofoil,Special Illustration Rare,31.15,2025-03-31
Cottonee (Master Ball Pattern) | Holofoil,Common,3.64,2025-03-31
Crispin - 105/131 (Poke Ball Pattern) | Holofoil,Uncommon,4.35,2025-03-31
Crispin - 171/131 | Holofoil,Special Illustration Rare,65.38,2025-03-31
Dipplin (Master Ball Pattern) | Holofoil,Uncommon,4.48,2025-03-31
Dragapult ex - 073/131 | Holofoil,Double Rare,4.81,2025-03-31
Dragapult ex - 165/131 | Holofoil,Special Illustration Rare,180.72,2025-03-31
Drakloak (Master Ball Pattern) | Holofoil,Common,15.11,2025-03-31
Drakloak (Poke Ball Pattern) | Holofoil,Common,4.0,2025-03-31
Drayton | Holofoil,Special Illustration Rare,33.45,2025-03-31
Dreepy (Master Ball Pattern) | Holofoil,Common,11.57,2025-03-31
Dreepy (Poke Ball Pattern) | Holofoil,Common,3.9,2025-03-31
Dudunsparce (Master Ball Pattern) | Holofoil,Rare,15.39,2025-03-31
Dudunsparce (Poke Ball Pattern) | Holofoil,Rare,2.36,2025-03-31
Dunsparce (Master Ball Pattern) | Holofoil,Common,6.05,2025-03-31
Duraludon (Master Ball Pattern) | Holofoil,Common,9.53,2025-03-31
Duraludon (Poke Ball Pattern) | Holofoil,Common,3.15,2025-03-31
Dusclops (Master Ball Pattern) | Holofoil,Common,4.89,2025-03-31
Dusknoir (Master Ball Pattern) | Holofoil,Rare,13.55,2025-03-31
Dusknoir (Poke Ball Pattern) | Holofoil,Rare,2.0,2025-03-31
Duskull (Master Ball Pattern) | Holofoil,Common,6.72,2025-03-31
Duskull (Poke Ball Pattern) | Holofoil,Common,2.26,2025-03-31
Earthen Vessel (Poke Ball Pattern) | Holofoil,Uncommon,2.8,2025-03-31
Eevee (Master Ball Pattern) | Holofoil,Common,22.62,2025-03-31
Eevee (Poke Ball Pattern) | Holofoil,Common,3.62,2025-03-31
Eevee ex - 075/131 | Holofoil,Double Rare,12.95,2025-03-31
Eevee ex - 167/131 | Holofoil,Special Illustration Rare,239.84,2025-03-31
Eri | Holofoil,Ultra Rare,4.37,2025-03-31
Espeon (Master Ball Pattern) | Holofoil,Rare,55.47,2025-03-31
Espeon (Poke Ball Pattern) | Holofoil,Rare,3.64,2025-03-31
Espeon ex - 034/131 | Holofoil,Double Rare,3.91,2025-03-31
Espeon ex - 155/131 | Holofoil,Special Illustration Rare,416.12,2025-03-31
Exeggcute (Master Ball Pattern) | Holofoil,Common,4.94,2025-03-31
Exeggutor (Master Ball Pattern) | Holofoil,Uncommon,12.29,2025-03-31
Fan Rotom (Master Ball Pattern) | Holofoil,Common,10.37,2025-03-31
Fan Rotom (Poke Ball Pattern) | Holofoil,Common,3.2,2025-03-31
Fezandipiti (Master Ball Pattern) | Holofoil,Rare,9.46,2025-03-31
Flareon (Master Ball Pattern) | Holofoil,Rare,52.82,2025-03-31
Flareon (Poke Ball Pattern) | Holofoil,Rare,2.95,2025-03-31
Flareon ex - 014/131 | Holofoil,Double Rare,15.32,2025-03-31
Flareon ex - 146/131 | Holofoil,Special Illustration Rare,369.33,2025-03-31
Flutter Mane (Master Ball Pattern) | Holofoil,Rare,13.55,2025-03-31
Friends in Paldea - 137/131 | Holofoil,Ultra Rare,3.03,2025-03-31
Furfrou (Master Ball Pattern) | Holofoil,Common,7.87,2025-03-31
Gholdengo ex | Holofoil,Special Illustration Rare,103.36,2025-03-31
Glaceon (Master Ball Pattern) | Holofoil,Rare,44.88,2025-03-31
Glaceon (Poke Ball Pattern) | Holofoil,Rare,3.07,2025-03-31
Glaceon ex - 026/131 | Holofoil,Double Rare,3.74,2025-03-31
Glaceon ex - 150/131 | Holofoil,Special Illustration Rare,329.45,2025-03-31
Goldeen (Master Ball Pattern) | Holofoil,Common,5.21,2025-03-31
Great Tusk (Master Ball Pattern) | Holofoil,Uncommon,8.75,2025-03-31
Groudon (Master Ball Pattern) | Holofoil,Rare,21.33,2025-03-31
Hawlucha (Master Ball Pattern) | Holofoil,Uncommon,3.9,2025-03-31
Hearthflame Mask Ogerpon ex - 148/131 | Holofoil,Special Illustration Rare,29.03,2025-03-31
Heatran (Master Ball Pattern) | Holofoil,Uncommon,4.22,2025-03-31
Hippopotas (Master Ball Pattern) | Holofoil,Common,4.14,2025-03-31
Hippowdon (Master Ball Pattern) | Holofoil,Common,7.83,2025-03-31
Hoothoot (Master Ball Pattern) | Holofoil,Common,6.17,2025-03-31
Houndoom (Master Ball Pattern) | Holofoil,Common,15.42,2025-03-31
Houndour (Master Ball Pattern) | Holofoil,Common,6.73,2025-03-31
Iron Boulder (Master Ball Pattern) | Holofoil,Rare,9.4,2025-03-31
Iron Crown ex | Holofoil,Special Illustration Rare,106.46,2025-03-31
Iron Hands ex - 031/131 | Holofoil,Double Rare,2.11,2025-03-31
Iron Hands ex - 154/131 | Holofoil,Special Illustration Rare,73.0,2025-03-31
Iron Leaves ex | Holofoil,Hyper Rare,10.25,2025-03-31
Iron Valiant ex | Holofoil,Special Illustration Rare,85.41,2025-03-31
Janine's Secret Art - 173/131 | Holofoil,Special Illustration Rare,58.78,2025-03-31
Jolteon (Master Ball Pattern) | Holofoil,Rare,49.67,2025-03-31
Jolteon (Poke Ball Pattern) | Holofoil,Rare,3.44,2025-03-31
Jolteon ex - 030/131 | Holofoil,Double Rare,5.5,2025-03-31
Jolteon ex - 153/131 | Holofoil,Special Illustration Rare,309.13,2025-03-31
Kieran - 174/131 | Holofoil,Special Illustration Rare,46.84,2025-03-31
Lacey - 175/131 | Holofoil,Special Illustration Rare,65.85,2025-03-31
Larvitar (Master Ball Pattern) | Holofoil,Common,5.47,2025-03-31
Leafeon (Master Ball Pattern) | Holofoil,Rare,43.76,2025-03-31
Leafeon (Poke Ball Pattern) | Holofoil,Rare,3.2,2025-03-31
Leafeon ex - 006/131 | Holofoil,Double Rare,5.65,2025-03-31
Leafeon ex - 144/131 | Holofoil,Special Illustration Rare,458.96,2025-03-31
Litleo (Master Ball Pattern) | Holofoil,Common,4.27,2025-03-31
Lopunny (Master Ball Pattern) | Holofoil,Common,12.44,2025-03-31
Max Rod | Holofoil,ACE SPEC Rare,2.0,2025-03-31
Mela | Holofoil,Ultra Rare,2.22,2025-03-31
Miltank (Master Ball Pattern) | Holofoil,Common,4.94,2025-03-31
Munkidori (Master Ball Pattern) | Holofoil,Rare,10.37,2025-03-31
Noctowl (Master Ball Pattern) | Holofoil,Rare,13.13,2025-03-31
Noctowl (Poke Ball Pattern) | Holofoil,Rare,2.19,2025-03-31
Noibat (Master Ball Pattern) | Holofoil,Common,4.28,2025-03-31
Okidogi (Master Ball Pattern) | Holofoil,Rare,8.58,2025-03-31
Palafin ex | Holofoil,Special Illustration Rare,123.52,2025-03-31
Pecharunt ex | Holofoil,Special Illustration Rare,60.82,2025-03-31
Pikachu ex - 179/131 | Holofoil,Hyper Rare,78.15,2025-03-31
Pinsir (Master Ball Pattern) | Holofoil,Common,5.2,2025-03-31
Prime Catcher | Holofoil,ACE SPEC Rare,2.31,2025-03-31
Pupitar (Master Ball Pattern) | Holofoil,Common,9.98,2025-03-31
Pyroar (Master Ball Pattern) | Holofoil,Uncommon,5.06,2025-03-31
Raging Bolt ex | Holofoil,Special Illustration Rare,156.51,2025-03-31
Regigigas (Master Ball Pattern) | Holofoil,Uncommon,6.77,2025-03-31
Riolu (Master Ball Pattern) | Holofoil,Common,17.26,2025-03-31
Roaring Moon (Master Ball Pattern) | Holofoil,Rare,17.63,2025-03-31
Roaring Moon ex | Holofoil,Special Illustration Rare,306.01,2025-03-31
Sandy Shocks ex - 159/131 | Holofoil,Special Illustration Rare,77.72,2025-03-31
Scream Tail (Master Ball Pattern) | Holofoil,Uncommon,8.39,2025-03-31
Seaking (Master Ball Pattern) | Holofoil,Uncommon,5.39,2025-03-31
Shaymin (Master Ball Pattern) | Holofoil,Uncommon,10.24,2025-03-31
Slowking (Master Ball Pattern) | Holofoil,Uncommon,6.11,2025-03-31
Slowpoke (Master Ball Pattern) | Holofoil,Common,12.2,2025-03-31
Sneasel (Master Ball Pattern) | Holofoil,Common,5.09,2025-03-31
Spritzee (Master Ball Pattern) | Holofoil,Common,4.02,2025-03-31
Suicune (Master Ball Pattern) | Holofoil,Uncommon,29.57,2025-03-31
Sylveon (Master Ball Pattern) | Holofoil,Rare,64.58,2025-03-31
Sylveon (Poke Ball Pattern) | Holofoil,Rare,3.88,2025-03-31
Sylveon ex - 041/131 | Holofoil,Double Rare,3.5,2025-03-31
Sylveon ex - 156/131 | Holofoil,Special Illustration Rare,478.54,2025-03-31
Teal Mask Ogerpon ex - 012/131 | Holofoil,Double Rare,3.58,2025-03-31
Teal Mask Ogerpon ex - 145/131 | Holofoil,Special Illustration Rare,43.7,2025-03-31
Teal Mask Ogerpon ex - 177/131 | Holofoil,Hyper Rare,17.47,2025-03-31
Terapagos ex - 092/131 | Holofoil,Double Rare,2.33,2025-03-31
Terapagos ex - 169/131 | Holofoil,Special Illustration Rare,77.37,2025-03-31
Terapagos ex - 180/131 | Holofoil,Hyper Rare,19.43,2025-03-31
Umbreon (Master Ball Pattern) | Holofoil,Rare,188.53,2025-03-31
Umbreon (Poke Ball Pattern) | Holofoil,Rare,9.25,2025-03-31
Umbreon ex - 060/131 | Holofoil,Double Rare,6.42,2025-03-31
Umbreon ex - 161/131 | Holofoil,Special Illustration Rare,1454.21,2025-03-31
Vaporeon (Master Ball Pattern) | Holofoil,Rare,53.32,2025-03-31
Vaporeon (Poke Ball Pattern) | Holofoil,Rare,2.52,2025-03-31
Vaporeon ex - 023/131 | Holofoil,Double Rare,3.97,2025-03-31
Vaporeon ex - 149/131 | Holofoil,Special Illustration Rare,374.6,2025-03-31
Walking Wake ex | Holofoil,Hyper Rare,11.16,2025-03-31
Wellspring Mask Ogerpon ex - 152/131 | Holofoil,Special Illustration Rare,32.82,2025-03-31
Whimsicott (Master Ball Pattern) | Holofoil,Rare,11.69,2025-03-31
Amarys - 170/131 | Holofoil,Special Illustration Rare,40.56,2025-04-01
Applin (Master Ball Pattern) | Holofoil,Common,4.39,2025-04-01
Archaludon (Master Ball Pattern) | Holofoil,Rare,8.26,2025-04-01
Area Zero Underdepths (Poke Ball Pattern) | Holofoil,Uncommon,2.2,2025-04-01
Aromatisse (Master Ball Pattern) | Holofoil,Common,7.13,2025-04-01
Bloodmoon Ursaluna (Master Ball Pattern) | Holofoil,Rare,7.96,2025-04-01
Bloodmoon Ursaluna ex | Holofoil,Special Illustration Rare,116.29,2025-04-01
Bronzong (Master Ball Pattern) | Holofoil,Uncommon,6.39,2025-04-01
Bronzor (Master Ball Pattern) | Holofoil,Common,3.09,2025-04-01
Buddy-Buddy Poffin (Poke Ball Pattern) | Holofoil,Uncommon,2.83,2025-04-01
Budew (Master Ball Pattern) | Holofoil,Common,18.94,2025-04-01
Budew (Poke Ball Pattern) | Holofoil,Common,5.7,2025-04-01
Buneary (Master Ball Pattern) | Holofoil,Common,3.23,2025-04-01
Ceruledge ex | Holofoil,Special Illustration Rare,225.37,2025-04-01
Cornerstone Mask Ogerpon ex - 160/131 | Holofoil,Special Illustration Rare,31.15,2025-04-01
Cottonee (Master Ball Pattern) | Holofoil,Common,3.64,2025-04-01
Crispin - 105/131 (Poke Ball Pattern) | Holofoil,Uncommon,4.61,2025-04-01
Crispin - 171/131 | Holofoil,Special Illustration Rare,65.37,2025-04-01
Dipplin (Master Ball Pattern) | Holofoil,Uncommon,4.42,2025-04-01
Dragapult ex - 073/131 | Holofoil,Double Rare,4.73,2025-04-01
Dragapult ex - 165/131 | Holofoil,Special Illustration Rare,180.72,2025-04-01
Drakloak (Master Ball Pattern) | Holofoil,Common,15.11,2025-04-01
Drakloak (Poke Ball Pattern) | Holofoil,Common,3.94,2025-04-01
Drayton | Holofoil,Special Illustration Rare,33.31,2025-04-01
Dreepy (Master Ball Pattern) | Holofoil,Common,11.57,2025-04-01
Dreepy (Poke Ball Pattern) | Holofoil,Common,4.08,2025-04-01
Dudunsparce (Master Ball Pattern) | Holofoil,Rare,15.51,2025-04-01
Dudunsparce (Poke Ball Pattern) | Holofoil,Rare,2.17,2025-04-01
Dunsparce (Master Ball Pattern) | Holofoil,Common,6.21,2025-04-01
Duraludon (Master Ball Pattern) | Holofoil,Common,9.53,2025-04-01
Duraludon (Poke Ball Pattern) | Holofoil,Common,2.87,2025-04-01
Dusclops (Master Ball Pattern) | Holofoil,Common,4.92,2025-04-01
Dusknoir (Master Ball Pattern) | Holofoil,Rare,13.39,2025-04-01
Duskull (Master Ball Pattern) | Holofoil,Common,6.7,2025-04-01
Duskull (Poke Ball Pattern) | Holofoil,Common,2.36,2025-04-01
Earthen Vessel (Poke Ball Pattern) | Holofoil,Uncommon,2.83,2025-04-01
Eevee (Master Ball Pattern) | Holofoil,Common,22.56,2025-04-01
Eevee (Poke Ball Pattern) | Holofoil,Common,3.97,2025-04-01
Eevee ex - 075/131 | Holofoil,Double Rare,13.09,2025-04-01
Eevee ex - 167/131 | Holofoil,Special Illustration Rare,240.39,2025-04-01
Eri | Holofoil,Ultra Rare,4.28,2025-04-01
Espeon (Master Ball Pattern) | Holofoil,Rare,55.23,2025-04-01
Espeon (Poke Ball Pattern) | Holofoil,Rare,3.65,2025-04-01
Espeon ex - 034/131 | Holofoil,Double Rare,4.09,2025-04-01
Espeon ex - 155/131 | Holofoil,Special Illustration Rare,416.12,2025-04-01
Exeggcute (Master Ball Pattern) | Holofoil,Common,5.0,2025-04-01
Exeggutor (Master Ball Pattern) | Holofoil,Uncommon,12.23,2025-04-01
Fan Rotom (Master Ball Pattern) | Holofoil,Common,10.38,2025-04-01
Fan Rotom (Poke Ball Pattern) | Holofoil,Common,3.21,2025-04-01
Fezandipiti (Master Ball Pattern) | Holofoil,Rare,9.54,2025-04-01
Flareon (Master Ball Pattern) | Holofoil,Rare,52.82,2025-04-01
Flareon (Poke Ball Pattern) | Holofoil,Rare,2.9,2025-04-01
Flareon ex - 014/131 | Holofoil,Double Rare,14.79,2025-04-01
Flareon ex - 146/131 | Holofoil,Special Illustration Rare,369.33,2025-04-01
Flutter Mane (Master Ball Pattern) | Holofoil,Rare,13.55,2025-04-01
Friends in Paldea - 137/131 | Holofoil,Ultra Rare,3.18,2025-04-01
Furfrou (Master Ball Pattern) | Holofoil,Common,7.93,2025-04-01
Gholdengo ex | Holofoil,Special Illustration Rare,102.5,2025-04-01
Glaceon (Master Ball Pattern) | Holofoil,Rare,44.32,2025-04-01
Glaceon (Poke Ball Pattern) | Holofoil,Rare,3.01,2025-04-01
Glaceon ex - 026/131 | Holofoil,Double Rare,4.18,2025-04-01
Glaceon ex - 150/131 | Holofoil,Special Illustration Rare,329.45,2025-04-01
Goldeen (Master Ball Pattern) | Holofoil,Common,5.26,2025-04-01
Great Tusk (Master Ball Pattern) | Holofoil,Uncommon,8.77,2025-04-01
Groudon (Master Ball Pattern) | Holofoil,Rare,21.33,2025-04-01
Hawlucha (Master Ball Pattern) | Holofoil,Uncommon,3.85,2025-04-01
Hearthflame Mask Ogerpon ex - 148/131 | Holofoil,Special Illustration Rare,28.93,2025-04-01
Heatran (Master Ball Pattern) | Holofoil,Uncommon,4.03,2025-04-01
Hippopotas (Master Ball Pattern) | Holofoil,Common,4.11,2025-04-01
Hippowdon (Master Ball Pattern) | Holofoil,Common,7.83,2025-04-01
Hoothoot (Master Ball Pattern) | Holofoil,Common,6.19,2025-04-01
Houndoom (Master Ball Pattern) | Holofoil,Common,15.53,2025-04-01
Houndour (Master Ball Pattern) | Holofoil,Common,6.73,2025-04-01
Iron Boulder (Master Ball Pattern) | Holofoil,Rare,9.44,2025-04-01
Iron Crown ex | Holofoil,Special Illustration Rare,106.46,2025-04-01
Iron Hands ex - 154/131 | Holofoil,Special Illustration Rare,73.0,2025-04-01
Iron Leaves ex | Holofoil,Hyper Rare,10.32,2025-04-01
Iron Valiant ex | Holofoil,Special Illustration Rare,85.41,2025-04-01
Janine's Secret Art - 173/131 | Holofoil,Special Illustration Rare,58.78,2025-04-01
Jolteon (Master Ball Pattern) | Holofoil,Rare,49.73,2025-04-01
Jolteon (Poke Ball Pattern) | Holofoil,Rare,3.37,2025-04-01
Jolteon ex - 030/131 | Holofoil,Double Rare,6.03,2025-04-01
Jolteon ex - 153/131 | Holofoil,Special Illustration Rare,309.13,2025-04-01
Kieran - 174/131 | Holofoil,Special Illustration Rare,46.84,2025-04-01
Lacey - 175/131 | Holofoil,Special Illustration Rare,65.85,2025-04-01
Larvitar (Master Ball Pattern) | Holofoil,Common,5.57,2025-04-01
Leafeon (Master Ball Pattern) | Holofoil,Rare,44.06,2025-04-01
Leafeon (Poke Ball Pattern) | Holofoil,Rare,3.36,2025-04-01
Leafeon ex - 006/131 | Holofoil,Double Rare,5.92,2025-04-01
Leafeon ex - 144/131 | Holofoil,Special Illustration Rare,458.96,2025-04-01
Litleo (Master Ball Pattern) | Holofoil,Common,4.25,2025-04-01
Lopunny (Master Ball Pattern) | Holofoil,Common,12.35,2025-04-01
Max Rod | Holofoil,ACE SPEC Rare,2.26,2025-04-01
Mela | Holofoil,Ultra Rare,2.04,2025-04-01
Miltank (Master Ball Pattern) | Holofoil,Common,4.71,2025-04-01
Munkidori (Master Ball Pattern) | Holofoil,Rare,10.37,2025-04-01
Noctowl (Master Ball Pattern) | Holofoil,Rare,13.07,2025-04-01
Noctowl (Poke Ball Pattern) | Holofoil,Rare,2.64,2025-04-01
Noibat (Master Ball Pattern) | Holofoil,Common,4.26,2025-04-01
Okidogi (Master Ball Pattern) | Holofoil,Rare,8.51,2025-04-01
Palafin ex | Holofoil,Special Illustration Rare,123.52,2025-04-01
Pecharunt ex | Holofoil,Special Illustration Rare,60.82,2025-04-01
Pikachu ex - 179/131 | Holofoil,Hyper Rare,77.39,2025-04-01
Pinsir (Master Ball Pattern) | Holofoil,Common,5.03,2025-04-01
Prime Catcher | Holofoil,ACE SPEC Rare,2.47,2025-04-01
Pupitar (Master Ball Pattern) | Holofoil,Common,10.03,2025-04-01
Pyroar (Master Ball Pattern) | Holofoil,Uncommon,5.06,2025-04-01
Raging Bolt ex | Holofoil,Special Illustration Rare,156.51,2025-04-01
Regigigas (Master Ball Pattern) | Holofoil,Uncommon,6.73,2025-04-01
Riolu (Master Ball Pattern) | Holofoil,Common,17.19,2025-04-01
Roaring Moon (Master Ball Pattern) | Holofoil,Rare,17.63,2025-04-01
Roaring Moon ex | Holofoil,Special Illustration Rare,306.01,2025-04-01
Sandy Shocks ex - 159/131 | Holofoil,Special Illustration Rare,78.21,2025-04-01
Scream Tail (Master Ball Pattern) | Holofoil,Uncommon,8.47,2025-04-01
Seaking (Master Ball Pattern) | Holofoil,Uncommon,4.92,2025-04-01
Shaymin (Master Ball Pattern) | Holofoil,Uncommon,10.24,2025-04-01
Slowking (Master Ball Pattern) | Holofoil,Uncommon,6.09,2025-04-01
Slowpoke (Master Ball Pattern) | Holofoil,Common,12.05,2025-04-01
Sneasel (Master Ball Pattern) | Holofoil,Common,5.17,2025-04-01
Spritzee (Master Ball Pattern) | Holofoil,Common,3.86,2025-04-01
Suicune (Master Ball Pattern) | Holofoil,Uncommon,29.57,2025-04-01
Sylveon (Master Ball Pattern) | Holofoil,Rare,64.58,2025-04-01
Sylveon (Poke Ball Pattern) | Holofoil,Rare,4.07,2025-04-01
Sylveon ex - 041/131 | Holofoil,Double Rare,3.88,2025-04-01
Sylveon ex - 156/131 | Holofoil,Special Illustration Rare,478.54,2025-04-01
Teal Mask Ogerpon ex - 012/131 | Holofoil,Double Rare,4.04,2025-04-01
Teal Mask Ogerpon ex - 145/131 | Holofoil,Special Illustration Rare,43.7,2025-04-01
Teal Mask Ogerpon ex - 177/131 | Holofoil,Hyper Rare,17.33,2025-04-01
Terapagos ex - 092/131 | Holofoil,Double Rare,2.69,2025-04-01
Terapagos ex - 169/131 | Holofoil,Special Illustration Rare,77.37,2025-04-01
Terapagos ex - 180/131 | Holofoil,Hyper Rare,19.32,2025-04-01
Umbreon (Master Ball Pattern) | Holofoil,Rare,187.33,2025-04-01
Umbreon (Poke Ball Pattern) | Holofoil,Rare,9.28,2025-04-01
Umbreon ex - 060/131 | Holofoil,Double Rare,7.01,2025-04-01
Umbreon ex - 161/131 | Holofoil,Special Illustration Rare,1454.21,2025-04-01
Vaporeon (Master Ball Pattern) | Holofoil,Rare,52.63,2025-04-01
Vaporeon (Poke Ball Pattern) | Holofoil,Rare,2.51,2025-04-01
Vaporeon ex - 023/131 | Holofoil,Double Rare,4.42,2025-04-01
Vaporeon ex - 149/131 | Holofoil,Special Illustration Rare,378.46,2025-04-01
Walking Wake ex | Holofoil,Hyper Rare,11.05,2025-04-01
Wellspring Mask Ogerpon ex - 152/131 | Holofoil,Special Illustration Rare,32.82,2025-04-01
Whimsicott (Master Ball Pattern) | Holofoil,Rare,11.69,2025-04-01
Amarys - 170/131 | Holofoil,Special Illustration Rare,40.56,2025-04-02
Applin (Master Ball Pattern) | Holofoil,Common,4.5,2025-04-02
Archaludon (Master Ball Pattern) | Holofoil,Rare,8.22,2025-04-02
Area Zero Underdepths (Poke Ball Pattern) | Holofoil,Uncommon,2.19,2025-04-02
Aromatisse (Master Ball Pattern) | Holofoil,Common,7.18,2025-04-02
Bloodmoon Ursaluna (Master Ball Pattern) | Holofoil,Rare,8.05,2025-04-02
Bloodmoon Ursaluna ex | Holofoil,Special Illustration Rare,116.29,2025-04-02
Bronzong (Master Ball Pattern) | Holofoil,Uncommon,6.42,2025-04-02
Bronzor (Master Ball Pattern) | Holofoil,Common,3.15,2025-04-02
Buddy-Buddy Poffin (Poke Ball Pattern) | Holofoil,Uncommon,3.01,2025-04-02
Budew (Master Ball Pattern) | Holofoil,Common,18.74,2025-04-02
Budew (Poke Ball Pattern) | Holofoil,Common,5.8,2025-04-02
Buneary (Master Ball Pattern) | Holofoil,Common,3.22,2025-04-02
Ceruledge ex | Holofoil,Special Illustration Rare,224.39,2025-04-02
Cornerstone Mask Ogerpon ex - 160/131 | Holofoil,Special Illustration Rare,30.25,2025-04-02
Cottonee (Master Ball Pattern) | Holofoil,Common,3.72,2025-04-02
Crispin - 105/131 (Poke Ball Pattern) | Holofoil,Uncommon,4.55,2025-04-02
Crispin - 171/131 | Holofoil,Special Illustration Rare,64.72,2025-04-02
Dipplin (Master Ball Pattern) | Holofoil,Uncommon,4.36,2025-04-02
Dragapult ex - 073/131 | Holofoil,Double Rare,4.52,2025-04-02
Dragapult ex - 165/131 | Holofoil,Special Illustration Rare,180.21,2025-04-02
Drakloak (Master Ball Pattern) | Holofoil,Common,15.01,2025-04-02
Drakloak (Poke Ball Pattern) | Holofoil,Common,4.03,2025-04-02
Drayton | Holofoil,Special Illustration Rare,33.31,2025-04-02
Dreepy (Master Ball Pattern) | Holofoil,Common,11.34,2025-04-02
Dreepy (Poke Ball Pattern) | Holofoil,Common,4.27,2025-04-02
Dudunsparce (Master Ball Pattern) | Holofoil,Rare,16.67,2025-04-02
Dudunsparce (Poke Ball Pattern) | Holofoil,Rare,2.28,2025-04-02
Dunsparce (Master Ball Pattern) | Holofoil,Common,6.21,2025-04-02
Duraludon (Master Ball Pattern) | Holofoil,Common,9.53,2025-04-02
Duraludon (Poke Ball Pattern) | Holofoil,Common,2.81,2025-04-02
Dusclops (Master Ball Pattern) | Holofoil,Common,4.83,2025-04-02
Dusknoir (Master Ball Pattern) | Holofoil,Rare,13.33,2025-04-02
Duskull (Master Ball Pattern) | Holofoil,Common,6.74,2025-04-02
Duskull (Poke Ball Pattern) | Holofoil,Common,2.4,2025-04-02
Earthen Vessel (Poke Ball Pattern) | Holofoil,Uncommon,2.83,2025-04-02
Eevee (Master Ball Pattern) | Holofoil,Common,22.22,2025-04-02
Eevee (Poke Ball Pattern) | Holofoil,Common,3.67,2025-04-02
Eevee ex - 075/131 | Holofoil,Double Rare,13.23,2025-04-02
Eevee ex - 167/131 | Holofoil,Special Illustration Rare,240.22,2025-04-02
Eri | Holofoil,Ultra Rare,4.01,2025-04-02
Espeon (Master Ball Pattern) | Holofoil,Rare,55.23,2025-04-02
Espeon (Poke Ball Pattern) | Holofoil,Rare,3.77,2025-04-02
Espeon ex - 034/131 | Holofoil,Double Rare,4.25,2025-04-02
Espeon ex - 155/131 | Holofoil,Special Illustration Rare,416.95,2025-04-02
Exeggcute (Master Ball Pattern) | Holofoil,Common,4.98,2025-04-02
Exeggutor (Master Ball Pattern) | Holofoil,Uncommon,12.23,2025-04-02
Fan Rotom (Master Ball Pattern) | Holofoil,Common,10.37,2025-04-02
Fan Rotom (Poke Ball Pattern) | Holofoil,Common,3.13,2025-04-02
Fezandipiti (Master Ball Pattern) | Holofoil,Rare,9.47,2025-04-02
Flareon (Master Ball Pattern) | Holofoil,Rare,52.82,2025-04-02
Flareon (Poke Ball Pattern) | Holofoil,Rare,3.05,2025-04-02
Flareon ex - 014/131 | Holofoil,Double Rare,15.98,2025-04-02
Flareon ex - 146/131 | Holofoil,Special Illustration Rare,363.12,2025-04-02
Flutter Mane (Master Ball Pattern) | Holofoil,Rare,13.55,2025-04-02
Friends in Paldea - 137/131 | Holofoil,Ultra Rare,2.81,2025-04-02
Furfrou (Master Ball Pattern) | Holofoil,Common,8.04,2025-04-02
Gholdengo ex | Holofoil,Special Illustration Rare,101.32,2025-04-02
Glaceon (Master Ball Pattern) | Holofoil,Rare,44.32,2025-04-02
Glaceon (Poke Ball Pattern) | Holofoil,Rare,3.31,2025-04-02
Glaceon ex - 026/131 | Holofoil,Double Rare,3.93,2025-04-02
Glaceon ex - 150/131 | Holofoil,Special Illustration Rare,329.81,2025-04-02
Goldeen (Master Ball Pattern) | Holofoil,Common,5.26,2025-04-02
Great Tusk (Master Ball Pattern) | Holofoil,Uncommon,8.72,2025-04-02
Groudon (Master Ball Pattern) | Holofoil,Rare,21.26,2025-04-02
Hawlucha (Master Ball Pattern) | Holofoil,Uncommon,3.81,2025-04-02
Hearthflame Mask Ogerpon ex - 148/131 | Holofoil,Special Illustration Rare,28.85,2025-04-02
Heatran (Master Ball Pattern) | Holofoil,Uncommon,3.95,2025-04-02
Hippopotas (Master Ball Pattern) | Holofoil,Common,4.11,2025-04-02
Hippowdon (Master Ball Pattern) | Holofoil,Common,7.89,2025-04-02
Hoothoot (Master Ball Pattern) | Holofoil,Common,6.37,2025-04-02
Houndoom (Master Ball Pattern) | Holofoil,Common,15.5,2025-04-02
Houndour (Master Ball Pattern) | Holofoil,Common,6.54,2025-04-02
Iron Boulder (Master Ball Pattern) | Holofoil,Rare,9.32,2025-04-02
Iron Crown ex | Holofoil,Special Illustration Rare,107.69,2025-04-02
Iron Hands ex - 031/131 | Holofoil,Double Rare,2.08,2025-04-02
Iron Hands ex - 154/131 | Holofoil,Special Illustration Rare,73.28,2025-04-02
Iron Leaves ex | Holofoil,Hyper Rare,10.2,2025-04-02
Iron Valiant ex | Holofoil,Special Illustration Rare,85.7,2025-04-02
Janine's Secret Art - 173/131 | Holofoil,Special Illustration Rare,58.05,2025-04-02
