productId,lowPrice,midPrice,highPrice,market_price,directLowPrice,subTypeName,card_name
610373,0.01,0.15,999.0,0.12,0.01,Normal,Slowpoke
610374,0.04,0.25,999.0,0.28,0.15,Reverse Holofoil,Slowking
610374,0.01,0.18,999.0,0.17,0.01,Normal,Slowking
610375,0.01,0.22,999.0,0.23,0.1,Reverse Holofoil,Goldeen
610375,0.01,0.15,999.0,0.14,0.01,Normal,Goldeen
610376,0.04,0.25,999.0,0.24,0.24,Reverse Holofoil,Seaking
610376,0.01,0.19,999.0,0.19,0.1,Normal,Seaking
610377,0.04,0.35,999.0,0.33,,Holofoil,Vaporeon
610377,0.09,0.4,999.0,0.4,0.44,Reverse Holofoil,Vaporeon
610378,2.19,3.5,999.0,3.56,2.31,Holofoil,Vaporeon ex - 023/131
610379,0.02,0.25,999.0,0.25,0.1,Reverse Holofoil,Suicune
610379,0.01,0.15,999.0,0.1,0.01,Normal,Suicune
610380,0.01,0.36,999.0,0.34,0.39,Holofoil,Glaceon
610380,0.09,0.37,999.0,0.32,,Reverse Holofoil,Glaceon
610381,1.5,2.82,9999.0,2.57,,Holofoil,Glaceon ex - 026/131
610382,0.5,0.98,999.0,0.94,,Holofoil,Wellspring Mask Ogerpon ex - 027/131
610383,1.41,2.92,999.0,2.66,4.04,Holofoil,Pikachu ex - 028/131
610384,0.09,0.35,999.0,0.31,0.35,Holofoil,Jolteon
610384,0.1,0.4,999.0,0.41,0.43,Reverse Holofoil,Jolteon
610385,2.45,4.49,999.0,4.13,6.3,Holofoil,Jolteon ex - 030/131
610386,0.3,0.81,999.0,0.61,0.99,Holofoil,Iron Hands ex - 031/131
610387,0.39,0.87,999.0,0.79,0.99,Holofoil,Iron Thorns ex
610388,0.15,0.5,999.0,0.46,,Reverse Holofoil,Espeon
610388,0.1,0.41,999.0,0.4,,Holofoil,Espeon
610389,2.04,4.25,999.0,4.04,6.98,Holofoil,Espeon ex - 034/131
610390,0.01,0.2,999.0,0.16,0.1,Normal,Duskull
610390,0.01,0.26,999.0,0.27,0.25,Reverse Holofoil,Duskull
610391,0.01,0.25,999.0,0.25,0.25,Reverse Holofoil,Dusclops
610391,0.01,0.2,999.0,0.19,0.1,Normal,Dusclops
610392,0.03,0.28,999.0,0.26,0.3,Reverse Holofoil,Dusknoir
610392,0.04,0.25,999.0,0.22,0.22,Holofoil,Dusknoir
610393,0.01,0.2,999.0,0.17,0.08,Reverse Holofoil,Spritzee
610393,0.01,0.15,999.0,0.05,0.01,Normal,Spritzee
610394,0.03,0.21,999.0,0.18,0.04,Reverse Holofoil,Aromatisse
610394,0.01,0.15,999.0,0.06,0.01,Normal,Aromatisse
610395,0.1,0.4,999.0,0.4,0.41,Holofoil,Sylveon
610395,0.1,0.47,999.0,0.38,0.6,Reverse Holofoil,Sylveon
610396,1.9,3.19,9999.0,3.0,,Holofoil,Sylveon ex - 041/131
610397,0.01,0.15,999.0,0.1,0.01,Normal,Scream Tail
610397,0.01,0.25,999.0,0.26,0.15,Reverse Holofoil,Scream Tail
610398,0.01,0.18,999.0,0.14,0.01,Holofoil,Flutter Mane
610398,0.01,0.21,999.0,0.19,0.01,Reverse Holofoil,Flutter Mane
610399,0.1,0.37,999.0,0.37,0.32,Reverse Holofoil,Munkidori
610399,0.05,0.3,999.0,0.3,0.27,Holofoil,Munkidori
610400,0.01,0.18,999.0,0.1,0.01,Holofoil,Fezandipiti
610400,0.01,0.2,999.0,0.2,0.1,Reverse Holofoil,Fezandipiti
610401,0.05,0.21,999.0,0.2,0.1,Reverse Holofoil,Iron Boulder
610401,0.01,0.18,999.0,0.14,0.09,Holofoil,Iron Boulder
610402,0.01,0.15,999.0,0.1,0.01,Normal,Larvitar
610402,0.01,0.2,999.0,0.19,0.01,Reverse Holofoil,Larvitar
610403,0.02,0.2,999.0,0.17,0.02,Reverse Holofoil,Pupitar
610403,0.01,0.15,999.0,0.05,0.01,Normal,Pupitar
610404,0.01,0.23,999.0,0.23,0.1,Reverse Holofoil,Groudon
610404,0.01,0.17,999.0,0.1,0.01,Holofoil,Groudon
610405,0.01,0.25,999.0,0.27,0.15,Reverse Holofoil,Riolu
610405,0.01,0.19,999.0,0.19,0.1,Normal,Riolu
610406,0.39,0.9,999.0,0.82,1.2,Holofoil,Lucario ex
610407,0.01,0.15,999.0,0.06,0.01,Normal,Hippopotas
610407,0.01,0.16,999.0,0.06,0.01,Reverse Holofoil,Hippopotas
610408,0.01,0.2,999.0,0.19,0.04,Reverse Holofoil,Hippowdon
610408,0.01,0.15,999.0,0.06,0.01,Normal,Hippowdon
610409,0.01,0.2,999.0,0.19,0.1,Holofoil,Bloodmoon Ursaluna
